"Species","Precision"
"Armadillo",NA
"Beaver",0
"Bird",0.57367
"Boar",0.994895
"Bobcat",0.724138
"Cat",0
"Corvid",0.408867
"Cougar",0
"Cow",0
"Coyote",0.344296
"Deer",0.224401
"Dog",0.046729
"Fox",0
"Opossum",0.682432
"Other/Object",0.490706
"Person",0.716028
"Rabbit",0.778652
"Raccoon",0.662983
"Raptor",0
"Reptile",0
"Rodent",0
"Skunk",0
"Squirrel",0
"Unidentified",0.051485
"Weasel",0
